# time,x_gt,y_gt,yaw_gt,speed_gt,omega_gt,x_ekf,y_ekf,tracking_error,localization_error
1.736620000000000061e+02,1.548306321197603586e+00,3.769611168408531388e+00,-1.450163520904026448e+00,1.997998049332101456e-01,1.862062480598332881e-03,1.575433725309776323e+00,3.787866554133758612e+00,3.201609637268362091e-02,3.269793818946320485e-02
1.736819999999999879e+02,1.548789193397527963e+00,3.765641508505079393e+00,-1.450120108725699852e+00,1.997973316481468364e-01,1.840410646516615423e-03,1.576014651433623071e+00,3.783879449267804951e+00,3.220018017370235297e-02,3.276962081776141344e-02
1.737019999999999982e+02,1.549272224700319889e+00,3.761671878370016486e+00,-1.450076781541397075e+00,1.997972934454127492e-01,1.850454391801779246e-03,1.576595577557470484e+00,3.779892344401845516e+00,3.238442486079375765e-02,3.284130012306752527e-02
1.737220000000000084e+02,1.549754454689841854e+00,3.757701856551061592e+00,-1.450080838738177613e+00,1.999569798789753439e-01,-5.504067056813235180e-03,1.577176503681318120e+00,3.775905239535886082e+00,3.256784113969272282e-02,3.291400800545449257e-02
1.737419999999999902e+02,1.550235093140185150e+00,3.753732188721575103e+00,-1.450210331635856109e+00,1.998502415634748341e-01,-6.961912288191131337e-03,1.577762644584355778e+00,3.771918336129749694e+00,3.274969687613253633e-02,3.299245438071129327e-02
1.737620000000000005e+02,1.550715986964805060e+00,3.749762550295588248e+00,-1.450347100046861293e+00,1.998243514400314114e-01,-7.257494490014261557e-03,1.578350089182191995e+00,3.767931483088562405e+00,3.293180947210414683e-02,3.307194769281968788e-02
1.737820000000000107e+02,1.551196786732737865e+00,3.745793075445231324e+00,-1.450489493940307906e+00,1.997995413634617301e-01,-7.516806272732482440e-03,1.578937533780028213e+00,3.763944630047374673e+00,3.311384053185544712e-02,3.315159093039637961e-02
1.738019999999999925e+02,1.551677239802249808e+00,3.741823686990866982e+00,-1.450635401527424317e+00,1.997853081309421963e-01,-7.647104415953154787e-03,1.579524978377863764e+00,3.759957777006192714e+00,3.329553234103767301e-02,3.323163800446306271e-02
1.738220000000000027e+02,1.552157014136826385e+00,3.737854320528086749e+00,-1.450790609622644833e+00,1.997928287868718233e-01,-8.646196699036077377e-03,1.580112422975699982e+00,3.755970923965004982e+00,3.347654897089107767e-02,3.331240314716321649e-02
1.738420000000000130e+02,1.552635990970875124e+00,3.733884884942167748e+00,-1.450958859654305710e+00,1.997860332033937203e-01,-8.705184955260203764e-03,1.580428245518383124e+00,3.752134958552514998e+00,3.365676516279217378e-02,3.324867816344842519e-02
1.738619999999999948e+02,1.553114263842257481e+00,3.729915358327597019e+00,-1.451126667510810098e+00,1.997876845591795014e-01,-8.664245048921890083e-03,1.580676162547278052e+00,3.748336715047204670e+00,3.383627255038162279e-02,3.315123894542779809e-02
1.738820000000000050e+02,1.553591740741283145e+00,3.725945728448778471e+00,-1.451293334005705260e+00,1.997927312292970270e-01,-8.583059556087369382e-03,1.580924079576173202e+00,3.744538471541889013e+00,3.401497846583496215e-02,3.305672158444707132e-02
1.739019999999999868e+02,1.554068367108716098e+00,3.721975967304604005e+00,-1.451458115872522603e+00,1.998010009677612386e-01,-8.466572446446482547e-03,1.581171996605067909e+00,3.740740228036578685e+00,3.419282640526379730e-02,3.296519699157034883e-02
1.739219999999999970e+02,1.554544004563516379e+00,3.718005909624270799e+00,-1.451627137325313344e+00,1.998262093058597311e-01,-9.229047331072328178e-03,1.581419913633963059e+00,3.736941984531262584e+00,3.436966599350976120e-02,3.287688277872648224e-02
1.739420000000000073e+02,1.555018572101130481e+00,3.714035821106688395e+00,-1.451806850829007844e+00,1.998294713982642634e-01,-9.189154712969759345e-03,1.581934962693856583e+00,3.732993064507100556e+00,3.454543636149599861e-02,3.292216821357100281e-02
1.739619999999999891e+02,1.555492266079507413e+00,3.710065565745066518e+00,-1.451984340546297991e+00,1.998385748173303889e-01,-9.067453339110343596e-03,1.582516794761498202e+00,3.729006475353232375e+00,3.472032312477037197e-02,3.300126069210769508e-02
1.739819999999999993e+02,1.555965055208981873e+00,3.706095158500557041e+00,-1.452159523904821059e+00,1.998482573853879729e-01,-8.937961808442385428e-03,1.583098626829140931e+00,3.725019886199358421e+00,3.489429620260016407e-02,3.308135467812770014e-02
1.740020000000000095e+02,1.556436928900893690e+00,3.702124590930099490e+00,-1.452332156777772054e+00,1.998591070492931332e-01,-8.795778649064552729e-03,1.583680458896783438e+00,3.721033297045484467e+00,3.506734440348371201e-02,3.316246513145459235e-02
1.740219999999999914e+02,1.556907875320282741e+00,3.698153858917498926e+00,-1.452502731745302755e+00,1.998726743688672980e-01,-8.748543746513740699e-03,1.584262290964425279e+00,3.717046707891616286e+00,3.523945561731763043e-02,3.324460554122003059e-02
1.740420000000000016e+02,1.557377895249456135e+00,3.694182955855337624e+00,-1.452672170310574051e+00,1.998832836035252525e-01,-8.614540534089608001e-03,1.584846347385379106e+00,3.713059951431031180e+00,3.541063012914217462e-02,3.332951881903255253e-02
1.740620000000000118e+02,1.557847026650331701e+00,3.690211885088448884e+00,-1.452838901290086415e+00,1.998946842599343410e-01,-8.469895888796874495e-03,1.585430959894660985e+00,3.709073153143768398e+00,3.558090604478245794e-02,3.341587655415058367e-02
1.740819999999999936e+02,1.558315284261643008e+00,3.686240652852841748e+00,-1.453002983662900593e+00,1.999057327801564143e-01,-8.330090975100054584e-03,1.586015572403941754e+00,3.705086354856510944e+00,3.575029852878280900e-02,3.350323039913431777e-02
1.741020000000000039e+02,1.558782689605815897e+00,3.682269263548615612e+00,-1.453164516565787379e+00,1.999163295739777857e-01,-8.196636143059852359e-03,1.586600184913223410e+00,3.701099556569247717e+00,3.591882937275393123e-02,3.359156114890323591e-02
1.741220000000000141e+02,1.559249137211264458e+00,3.678297750012920808e+00,-1.453330238256809182e+00,1.999640877698554975e-01,-9.372378472685233622e-03,1.587184797422505067e+00,3.697112758281984934e+00,3.608639586193972126e-02,3.368093893588543219e-02
1.741419999999999959e+02,1.559714446063525939e+00,3.674326060882910472e+00,-1.453520013838523806e+00,1.999451049169244099e-01,-9.656934852596867069e-03,1.589584793317976752e+00,3.693044807286821829e+00,3.625281364227616460e-02,3.525094483890356400e-02
1.741620000000000061e+02,1.560179007758278669e+00,3.670354236050163532e+00,-1.453709722383878411e+00,1.999477468521846657e-01,-9.622913297386298179e-03,1.592438635059999275e+00,3.688956568114676760e+00,3.641847619762111216e-02,3.723882801437679996e-02
1.741819999999999879e+02,1.560642796698338053e+00,3.666382319032779780e+00,-1.453899084436048872e+00,1.999484903696130689e-01,-9.607518902577901962e-03,1.595292476802017800e+00,3.684868328942537463e+00,3.658336126338219974e-02,3.927254630999878898e-02
1.742019999999999982e+02,1.561105800118649745e+00,3.662410309456411550e+00,-1.454088089167680176e+00,1.999497743476174039e-01,-9.585961624850319537e-03,1.598146318544040545e+00,3.680780089770391950e+00,3.674745608233822430e-02,4.134548142186298542e-02
1.742220000000000084e+02,1.561567943563806349e+00,3.658437998769920263e+00,-1.454281761134532669e+00,1.999924060023786365e-01,-1.070661650747109159e-02,1.601000160286063068e+00,3.676691850598246880e+00,3.691067078244845978e-02,4.345230514255285503e-02
1.742419999999999902e+02,1.562028950513804304e+00,3.654465789651379914e+00,-1.454500707385882885e+00,1.999622276075304350e-01,-1.115228298643712243e-02,1.602135506724399194e+00,3.672685292384265665e+00,3.707275979207460409e-02,4.405094926227173802e-02
